,Location,Area,Security,Bedrooms,Price
0,Nizampet,1340,1,2,6968000
1,Hitech City,3498,1,4,29000000
2,Manikonda,1318,0,2,6590000
3,Alwal,1295,0,3,5739000
4,Kukatpally,1145,0,2,5679000
5,Nizampet,1230,0,2,6099000
6,Manikonda,1350,0,2,7000000
7,Gachibowli,1400,0,3,4198000
8,Tellapur,2240,1,3,9900000
9,Gachibowli,1520,0,2,9800000
10,Kokapet,1535,1,3,8903000
11,other,1150,0,2,6300000
12,other,1285,0,2,6300000
13,Tellapur,1897,1,3,9000000
14,Narsingi,1725,1,3,11100000
15,other,1665,0,3,11500000
16,Kukatpally,1592,0,3,10900000
17,Madhapur,1150,0,2,8625000
18,Tellapur,2240,1,3,9900000
19,Puppalaguda,1050,0,3,3900000
20,Nizampet,1340,1,2,6968000
21,Hitech City,3498,1,4,29000000
22,Manikonda,1318,0,2,6590000
23,Alwal,1295,0,3,5739000
24,Kukatpally,1145,0,2,5679000
25,Nizampet,1230,0,2,6099000
26,Manikonda,1350,0,2,7000000
27,Gachibowli,1400,0,3,4198000
28,Tellapur,2240,1,3,9900000
29,Gachibowli,1520,0,2,9800000
30,Kokapet,1535,1,3,8903000
31,other,1150,0,2,6300000
32,other,1285,0,2,6300000
33,Tellapur,1897,1,3,9000000
34,Narsingi,1725,1,3,11100000
35,other,1665,0,3,11500000
36,Kukatpally,1592,0,3,10900000
37,Madhapur,1150,0,2,8625000
38,Tellapur,2240,1,3,9900000
39,Puppalaguda,1050,0,3,3900000
40,Puppalaguda,1735,0,3,7800000
41,Narsingi,2800,0,3,19600000
42,Begumpet,1050,0,2,6050000
43,Kukatpally,1230,0,2,6150000
44,Nizampet,1175,0,2,5000000
45,Nizampet,1190,0,2,4760000
46,Banjara Hills,2956,0,4,30000000
47,other,680,0,2,2500000
48,Pragathi Nagar Kukatpally,1350,0,2,5900000
49,Miyapur,1970,0,3,9700000
50,Mallampet,1105,0,2,4641000
51,Nanakramguda,2005,0,3,16000000
52,Mallampet,1105,0,2,4641000
53,Attapur,1406,0,3,7500000
54,Alwal,1545,0,3,6140000
55,Nanakramguda,1495,1,3,10500000
56,West Marredpally,1300,0,3,7200000
57,Nizampet,1200,0,2,4600000
58,Hitech City,1450,0,3,10400000
59,Banjara Hills,1450,0,3,9500000
60,Narsingi,1912,0,3,9942000
61,Manikonda,1850,0,3,9250000
